(time);AXE:IP_F(1);AXE:IP_F(2);AXE:IP_F(3);AXE:IP_F(4);AXE:IP_F(5);AXE:IP_F(6);LOV:ERAG.QC[1];LOV:ERAG.QC[2];LOV:ERAG.QC[3];LOV:ERAG.QC[4];LOV:ERAG.QC[5];LOV:ERAG.QC[6];LOV:ERAG.MODEL_JC_CFG;AXE:IP(1);AXE:IP(2);AXE:IP(3);AXE:IP(4);AXE:IP(5);AXE:IP(6)
5007998;-102.1792602539063;6.284289360046387;82.35623168945313;0.9869347214698792;90.57553100585938;-178.4717712402344;29.15791511535645;-572.842041015625;472.0199890136719;166.4799957275391;0.4599981009960175;-179.6600036621094;1028;-102.0407943725586;6.045614242553711;82.62368774414063;0.9570602178573608;90.57454681396484;-178.3332061767578
5016001;-102.1268463134766;6.194318294525146;82.45690155029297;0.975824236869812;90.57515716552734;-178.4193115234375;29.82346343994141;-572.176513671875;472.0199890136719;166.4799957275391;0.4599981009960175;-179.6600036621094;1028;-101.9877319335938;5.955506324768066;82.72411346435547;0.9463309049606323;90.57416534423828;-178.2801055908203
5024001;-102.0741882324219;6.104287624359131;82.55748748779297;0.964855968952179;90.57478332519531;-178.3666076660156;30.49033164978027;-571.5096435546875;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.9344253540039;5.865347862243652;82.82444000244141;0.9357454776763916;90.57379150390625;-178.2267608642578
5032000;-102.0212860107422;6.014222621917725;82.657958984375;0.9540342688560486;90.57440948486328;-178.3136749267578;31.15846061706543;-570.8414916992188;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.8808822631836;5.775155544281006;82.92464447021484;0.925307035446167;90.57341003417969;-178.1731719970703
5039999;-101.9681396484375;5.924126148223877;82.75830841064453;0.9433597326278687;90.57402801513672;-178.260498046875;31.82780456542969;-570.1721801757813;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.8270950317383;5.684943199157715;83.02472686767578;0.9150176048278809;90.57302856445313;-178.1193542480469
5047999;-101.9147567749023;5.833978176116943;82.85856628417969;0.9328290224075317;90.57365417480469;-178.2070770263672;32.49838638305664;-569.5015869140625;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.7730712890625;5.594696998596191;83.12469482421875;0.9048751592636108;90.57264709472656;-178.0652923583984
5056001;-101.8611297607422;5.74378490447998;82.95872497558594;0.9224433898925781;90.57327270507813;-178.1534118652344;33.17020797729492;-568.8297729492188;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.7188034057617;5.504415035247803;83.22454833984375;0.8948793411254883;90.57225799560547;-178.010986328125
5064000;-101.807258605957;5.653572559356689;83.05875396728516;0.9122065305709839;90.57289123535156;-178.0995025634766;33.84320449829102;-568.15673828125;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.6642913818359;5.414114475250244;83.32426452636719;0.8850326538085938;90.57187652587891;-177.9564361572266
5072001;-101.7531509399414;5.563343048095703;83.15864562988281;0.902118980884552;90.572509765625;-178.0453643798828;34.51733016967773;-567.482666015625;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.6095504760742;5.323806762695313;83.42384338378906;0.875336766242981;90.57148742675781;-177.9016571044922
5080001;-101.6988067626953;5.473076343536377;83.25843048095703;0.8921779990196228;90.57212066650391;-177.9909820556641;35.19261169433594;-566.807373046875;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.5545654296875;5.233480930328369;83.52328491210938;0.8657901287078857;90.57110595703125;-177.8466491699219
5088000;-101.6442184448242;5.382779121398926;83.35809326171875;0.8823845386505127;90.57173919677734;-177.9363555908203;35.86904525756836;-566.1309204101563;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.4993438720703;5.143133163452148;83.62260437011719;0.8563923835754395;90.57071685791016;-177.7913818359375
5096002;-101.5893936157227;5.292477130889893;83.45761108398438;0.8727417588233948;90.57135009765625;-177.8815002441406;36.54656982421875;-565.453369140625;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-101.4438858032227;5.052781581878662;83.72176361083984;0.8471455574035645;90.57032012939453;-177.7359008789063
5103998;-101.5343322753906;5.20217227935791;83.55697631835938;0.8632500171661377;90.57096099853516;-177.8264007568359;37.22513961791992;-564.7748413085938;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.3881912231445;4.962437152862549;83.82077026367188;0.8380509614944458;90.56993103027344;-177.6801605224609
5112001;-101.4790267944336;5.111844539642334;83.65621948242188;0.85390704870224;90.57057189941406;-177.7710571289063;37.90478134155273;-564.09521484375;472.0199890136719;166.4799957275391;0.4599981307983398;-179.6600036621094;1028;-101.3322525024414;4.872088432312012;83.91963195800781;0.8291073441505432;90.56954193115234;-177.6242065429688
5120000;-101.4234848022461;5.021501064300537;83.75532531738281;0.8447138071060181;90.57018280029297;-177.7154846191406;38.58549499511719;-563.4144897460938;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-101.2760848999023;4.781732082366943;84.01834106445313;0.8203145265579224;90.56914520263672;-177.5680084228516
5128000;-101.3677139282227;4.931166648864746;83.85426330566406;0.8356725573539734;90.56978607177734;-177.6596832275391;39.2672119140625;-562.7327270507813;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-101.2196807861328;4.691385746002197;84.11688995361328;0.8116739392280579;90.56874847412109;-177.5115661621094
5136001;-101.3117065429688;4.840843677520752;83.95304107666016;0.8267836570739746;90.56939697265625;-177.6036376953125;39.94989013671875;-562.0501098632813;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-101.1630477905273;4.601061344146729;84.21526336669922;0.8031867146492004;90.56835174560547;-177.4548950195313
5144000;-101.2554550170898;4.750512599945068;84.05167388916016;0.8180454969406128;90.56900024414063;-177.54736328125;40.63355255126953;-561.366455078125;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-101.1061782836914;4.510746479034424;84.31346893310547;0.7948517799377441;90.56795501708984;-177.3979949951172
5152000;-101.198974609375;4.660179615020752;84.15015411376953;0.8094587326049805;90.568603515625;-177.4908447265625;41.31820297241211;-560.6817626953125;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-101.049072265625;4.420438289642334;84.41152191162109;0.7866690754890442;90.56755828857422;-177.3408660888672
5160001;-101.1422653198242;4.569869518280029;84.24845886230469;0.8010249733924866;90.56820678710938;-177.4340972900391;42.00377655029297;-559.9961547851563;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-100.9917373657227;4.330153942108154;84.50939178466797;0.7786396741867065;90.56715393066406;-177.2834930419922
5168000;-101.085319519043;4.479584693908691;84.34658050537109;0.7927444577217102;90.56781005859375;-177.3771209716797;42.69022369384766;-559.3097534179688;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-100.9341735839844;4.239904880523682;84.60707092285156;0.770764172077179;90.56674957275391;-177.2259063720703
5176000;-101.0281372070313;4.38930606842041;84.44454193115234;0.7846161723136902;90.56741333007813;-177.3199157714844;43.37757110595703;-558.6224365234375;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-100.8763809204102;4.149680137634277;84.70456695556641;0.7630419731140137;90.56635284423828;-177.1680755615234
5184001;-100.9707260131836;4.299039840698242;84.54234313964844;0.7766405344009399;90.56700897216797;-177.2624664306641;44.06582641601563;-557.9341430664063;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-100.8183517456055;4.059475898742676;84.80189514160156;0.7554730772972107;90.56594848632813;-177.1100158691406
5191999;-100.9130783081055;4.208810329437256;84.63994598388672;0.7688186168670654;90.56660461425781;-177.2048034667969;44.75491714477539;-557.2450561523438;472.0199890136719;166.4799957275391;0.4599981904029846;-179.6600036621094;1028;-100.7600936889648;3.969309091567993;84.89902496337891;0.748058021068573;90.56553649902344;-177.0517272949219
5200001;-100.8552093505859;4.118619918823242;84.73735809326172;0.7611504197120667;90.56620025634766;-177.1468963623047;45.44479751586914;-556.55517578125;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-100.7016067504883;3.879191637039185;84.99594879150391;0.7407971620559692;90.56513214111328;-176.9932250976563
5208007;-100.7971038818359;4.028449535369873;84.8345947265625;0.7536354660987854;90.5657958984375;-177.0887603759766;46.13549423217773;-555.864501953125;472.0199890136719;166.4799957275391;0.4599981606006622;-179.6600036621094;1028;-100.6428909301758;3.789111614227295;85.09268951416016;0.7336901426315308;90.56472778320313;-176.9344787597656
5216001;-100.73876953125;3.938305854797363;84.93164825439453;0.7462741732597351;90.56539154052734;-177.0304107666016;46.82701110839844;-555.1729736328125;472.0199890136719;166.4799957275391;0.4599981904029846;-179.6600036621094;1028;-100.5839538574219;3.699066162109375;85.18923187255859;0.7267370820045471;90.56431579589844;-176.8755035400391
